Airline name,Date of Journey,Source,Destination,Departure Time,Arrival Time,Duration,Total Stops,Price
SpiceJet,12 Nov,New Delhi,Mumbai,18:55,21:05,2: 10,Non Stop,5950
SpiceJet,12 Nov,New Delhi,Mumbai,07:20,09:35,2: 15,Non Stop,5950
Go First,12 Nov,New Delhi,Mumbai,08:00,10:10,2: 10,Non Stop,5953
Go First,12 Nov,New Delhi,Mumbai,14:20,16:35,2: 15,Non Stop,5953
Go First,12 Nov,New Delhi,Mumbai,19:40,21:55,2: 15,Non Stop,5953
Go First,12 Nov,New Delhi,Mumbai,21:00,23:15,2: 15,Non Stop,5953
IndiGo,12 Nov,New Delhi,Mumbai,02:00,04:15,2: 15,Non Stop,5954
IndiGo,12 Nov,New Delhi,Mumbai,05:30,07:45,2: 15,Non Stop,5954
IndiGo,12 Nov,New Delhi,Mumbai,06:30,08:45,2: 15,Non Stop,5954
IndiGo,12 Nov,New Delhi,Mumbai,07:15,09:30,2: 15,Non Stop,5954
IndiGo,12 Nov,New Delhi,Mumbai,08:00,10:15,2: 15,Non Stop,5954
IndiGo,12 Nov,New Delhi,Mumbai,10:00,12:15,2: 15,Non Stop,5954
IndiGo,12 Nov,New Delhi,Mumbai,14:15,16:30,2: 15,Non Stop,5954
IndiGo,12 Nov,New Delhi,Mumbai,15:45,18:00,2: 15,Non Stop,5954
IndiGo,12 Nov,New Delhi,Mumbai,16:30,18:45,2: 15,Non Stop,5954
IndiGo,12 Nov,New Delhi,Mumbai,17:30,19:45,2: 15,Non Stop,5954
IndiGo,12 Nov,New Delhi,Mumbai,18:30,20:45,2: 15,Non Stop,5954
IndiGo,12 Nov,New Delhi,Mumbai,08:45,11:05,2: 20,Non Stop,5954
IndiGo,12 Nov,New Delhi,Mumbai,12:00,14:20,2: 20,Non Stop,5954
IndiGo,12 Nov,New Delhi,Mumbai,19:45,22:05,2: 20,Non Stop,5954
Air Asia,19 Dec,New Delhi,Bangalore,21:20,23:55,2: 35,Non Stop,7005
IndiGo,19 Dec,New Delhi,Bangalore,07:00,09:50,2: 50,Non Stop,7424
IndiGo,19 Dec,New Delhi,Bangalore,09:15,12:05,2: 50,Non Stop,7424
IndiGo,19 Dec,New Delhi,Bangalore,13:15,16:05,2: 50,Non Stop,7424
IndiGo,19 Dec,New Delhi,Bangalore,15:30,18:20,2: 50,Non Stop,7424
IndiGo,19 Dec,New Delhi,Bangalore,17:25,20:15,2: 50,Non Stop,7424
IndiGo,19 Dec,New Delhi,Bangalore,21:45,00:35,2: 50,Non Stop,7424
IndiGo,19 Dec,New Delhi,Bangalore,22:55,01:45,2: 50,Non Stop,7424
IndiGo,19 Dec,New Delhi,Bangalore,04:20,07:15,2: 55,Non Stop,7424
IndiGo,19 Dec,New Delhi,Bangalore,06:10,09:05,2: 55,Non Stop,7424
IndiGo,19 Dec,New Delhi,Bangalore,08:00,10:55,2: 55,Non Stop,7424
IndiGo,19 Dec,New Delhi,Bangalore,10:35,13:30,2: 55,Non Stop,7424
IndiGo,19 Dec,New Delhi,Bangalore,11:45,14:40,2: 55,Non Stop,7424
IndiGo,19 Dec,New Delhi,Bangalore,19:15,22:10,2: 55,Non Stop,7424
IndiGo,19 Dec,New Delhi,Bangalore,20:30,23:25,2: 55,Non Stop,7424
Vistara,19 Dec,New Delhi,Bangalore,20:40,23:20,2: 40,Non Stop,7425
Vistara,19 Dec,New Delhi,Bangalore,06:15,09:00,2: 45,Non Stop,7425
Vistara,19 Dec,New Delhi,Bangalore,08:05,10:50,2: 45,Non Stop,7425
Vistara,19 Dec,New Delhi,Bangalore,17:35,20:25,2: 50,Non Stop,7425
SpiceJet,3 Oct,New Delhi,Goa,12:05,14:25,2: 20,Non Stop,7421
SpiceJet,3 Oct,New Delhi,Goa,15:10,17:40,2: 30,Non Stop,7421
Go First,3 Oct,New Delhi,Goa,10:45,13:20,2: 35,Non Stop,7421
Go First,3 Oct,New Delhi,Goa,20:50,23:25,2: 35,Non Stop,7421
Air Asia,3 Oct,New Delhi,Goa,07:20,17:15,9: 55,1 Stop,7421
IndiGo,3 Oct,New Delhi,Goa,16:20,18:40,2: 20,Non Stop,7424
IndiGo,3 Oct,New Delhi,Goa,11:00,13:25,2: 25,Non Stop,7424
IndiGo,3 Oct,New Delhi,Goa,12:25,14:50,2: 25,Non Stop,7424
IndiGo,3 Oct,New Delhi,Goa,19:00,21:30,2: 30,Non Stop,7424
IndiGo,3 Oct,New Delhi,Goa,21:45,00:20,2: 35,Non Stop,7424
Vistara,3 Oct,New Delhi,Goa,11:10,13:50,2: 40,Non Stop,7425
